Date,City,State,Shape,Duration,Summary,Posted
8/7/15,Sandwich,MA,Oval,4 minutes,"Glowing orange UFO sighted in Sandwich, MA on August 7th, 2015",8/13/15
8/5/15,Plymouth,MA,Fireball,10 minutes,Orange fireball shaped objects over Plymouth Harbour.,8/6/15
8/2/15,Sandwich,MA,Fireball,15 minutes,The first sighting was two bright orange/red balls going thru the sky with no sound.,8/6/15
8/2/15,Boston,MA,Unknown,3 minutes,"While at the beach with my family I noticed 4 military helicopter flying low, across Boston.  This is unusual so I took a picture.",8/6/15
7/31/15,Orleans,MA,Cylinder,2 minutes,Very bright object from the west moving east over Orleans MA 7-31-15.,8/6/15
7/30/15,West Stockbridge,MA,Teardrop,2 seconds,White object moving straight down in West Stockbridge.,8/27/15
7/29/15,Chelsea,MA,Oval,Seconds,"Bright, oval shape at very high speed zoomed through the sky.  I found a report from Leicester, MA on 6/26 and it was exactly the same.",7/31/15
7/21/15,Taunton,MA,Disk,Seconds,Disk shaped ufo in Massachusetts.,7/23/15
7/14/15,Nantucket,MA,Flash,15 seconds,Nantucket oddity.,7/23/15
7/11/15,Waquoit,MA,Light,10 minutes,"Unknown lights near Washburn Island, Cape Cod MA",7/17/15
7/10/15,Chilmark,MA,Light,3 minutes,3  lights in trangular formation which faded out.,7/17/15
7/4/15,Greenfield,MA,Light,2 minutes,"Bright yellow pulsing or moving slowly upwards. Caught on camera and on video. Silent, peaceful, disappeared into overcast sky.",7/6/15
7/4/15,Worcester,MA,Circle,5 minutes,Red lights in V-formation; disappear in same spot in sky; no sound.,7/6/15
6/29/15,Everett,MA,Sphere,30 minutes,"Two bright white lights,just above horizon.Lights were stationary,at approximately 45 degree angle.After 15 minutes lights drifted sout",7/3/15
6/29/15,Fall River,MA,,45 minutes+,"2 extremely bright stat. lights in W sky over Fall River Massachusetts, 9:30 pm and later.  ((NUFORC Note:  Venus & Jupiter?  PD))",7/10/15
6/26/15,Leicester,MA,Circle,5 seconds,"Craft seen zooming through the air at the blink of an eye, looked like a backwards shooting star.",7/3/15
6/26/15,Townsend,MA,Chevron,6 minutes,Saw triangular silent slow moving craft go over house above treeline. White and red flashing lights at points on craft.,7/3/15
6/25/15,Sandwich,MA,Light,3-5 minutes,I was with a group of people out on Sandy Neck Beach in Barnstable last night. The sky was very cloudy and the only celestial light tha,7/3/15
6/18/15,Randolph,MA,Circle,20 minutes,Husband called me from out the room and said this looks like a ufo around 9:30pm.  I looked up and saw a bright lights thru the cloud.,6/19/15
6/14/15,Waltham,MA,Light,40 seconds,Bright white orb moving silently across the sky.,6/15/15
6/13/15,Methuen,MA,Triangle,20 minutes,Strange orange triangular objects.,6/15/15
6/13/15,Princeton,MA,Light,4 seconds,"Bright light, pulsing super bright.",6/15/15
6/12/15,Brockton,MA,Circle,45 minutes,Fleets of ufos increasing by the numbers light spheres.,6/15/15
6/11/15,West Yarmouth,MA,Unknown,2 hours,I was abducted from my bed. Since then harassed or maybe just my eyes are open now but im still putting the piece's together.,6/15/15
6/6/15,Dighton,MA,Triangle,6-7 minutes,3 Bright orange lights that formed a triangle in the south east sky.Stayed stationary 6-7 minutes then Slowly drifted to the south,6/15/15
5/24/15,Southwick,MA,Disk,5 minutes,"Purple light, changing shape to spinning colorful disk shap.,  Fast flying and hovering high and low.",5/29/15
5/17/15,Windsor,MA,Light,3 minutes,"White Object Following Route 9 In Windsor, MA",9/2/15
5/17/15,Oxford,MA,Light,15 minutes,red and green lights,5/22/15
5/13/15,Savoy,MA,Light,2 seconds,"Large, extremely bright white light moving extremely fast from south to north. Seemed to be very close and low and dropping altitude.",5/22/15
5/9/15,Springfield,MA,Light,15-30 seconds,Orange flashes of light in night sky.,5/13/15
5/8/15,Smithfield,MA,Circle,1 minute,"Bright shining ball of light moves across sky in Smithfield, RI.",5/8/15
5/1/15,Everett,MA,Fireball,10-12 seconds,Very fast moving pulsating light.,5/8/15
5/1/15,Boston,MA,Light,<30 seconds,Hovering white light orb above and to the east of the Hyatt Hotel near the Prudential Center in Boston‰Ûªs Back Bay.,5/8/15
4/28/15,Brewster,MA,Triangle,20 minutes,2 dim orange triangular/orb.First hovering north west cape cod bay . Moving away from each other in consistent high spe,4/30/15
4/23/15,Newton,MA,Disk,20 minutes,"Round object that was brightly lit, moved slowly, 2-4 objects, fairly large.",4/30/15
4/19/15,New Bedford (near) (pilot report),MA,Sphere,10 seconds,I saw a small metalic silver sphere at 3200 feet.,4/23/15
4/8/15,Cheshire,MA,Light,10 minutes,two bright lights merging then disappeared over herizon,4/17/15
4/5/15,Attleboro,MA,Fireball,10 minutes,Silent firey orange spheres moving erratically and pulsating erratically,4/8/15
4/5/15,South Attleboro,MA,Light,5 minutes,"3 craft that each looked like stars, in triangle formation to start, then there were 2 side by side, no sound, slowly going north.",4/8/15
4/1/15,Belmont,MA,Teardrop,seconds,Object with bright light and blue/green tint moves rapidly and silently through Belmont,4/3/15
3/31/15,West Yarmouth,MA,Fireball,3-5 seconds,My friend and I were driving Down route 28 in West Yarmouth about 10:50pm. Straight ahead of us in the sky we witnessed a bright greeni,4/3/15
3/28/15,Boston Area,MA,Light,1-2 minutes,Ball of moving light witnessed from an airplane's window.,4/3/15
3/27/15,Holbrook,MA,Fireball,Minutes,"Orange round fireballs in the sky, at least 30 of them hovering over street above treetops.",4/3/15
3/27/15,Southbridge,MA,Triangle,2 hours,A single triangular shaped object showed up in the sky above the street from the house I was staying at with my brother. It hovered and,4/3/15
3/22/15,North Reading,MA,Teardrop,5 minutes,"Driving to Boston.  Passing through North Reading.  On highway ball of light dropping above me.  A blue/white color, like a gas stove.",3/26/15
3/18/15,Framingham,MA,Triangle,1 minute,"Loud fog horn like sound, and huge gusts of wind and a large triangular object flying towards the atmosphere. Major static in the air.",3/20/15
3/17/15,Norwood,MA,Formation,~1 minute,4 whitish objects in formation in night sky.,3/26/15
3/17/15,South Hadley,MA,Triangle,5 minutes,Triangle shape craft with lights on sides. Flying very slow and unlike a common aircraft. Too windy for small drone. Made no noise.,3/20/15
3/15/15,Springfield South,MA,,>1 hour,"Loud hovering noise in the sky over South Springfield, Ma.",3/20/15
3/12/15,Chicopee,MA,Fireball,5 seconds,"Probably just a meteor, had a long white tail .",3/13/15
3/12/15,Weymouth,MA,Light,hour,"Bright star looking object that pluses light moving constantly.  ((NUFORC Note:  Sighting of ""twinkling"" star??  PD))",3/13/15
3/9/15,New Salem,MA,Triangle,2 minutes,Triangle shaped craft over Quabbin with red or color changing lights in the middle of craft,3/13/15
3/1/15,Boylston,MA,Light,1 minute,"White orb of light moving across sky, makes sudden 90' turn.",6/5/15
2/22/15,Wilmington,MA,Fireball,,((HOAX??))  Round craft bright red light with what looked like fire coming from it.,3/6/15
2/19/15,Hull,MA,Triangle,10:00-11:00,"Use with camera phone , cuz human eye couldn't pick up! Saw floating green orb wich would move from position of the sun twords earth",2/20/15
1/29/15,Hampton Beach,MA,Sphere,5 minutes,I looked at the pictures on my phone of a sundog and noticed there was something else in my photos.,7/3/15
1/28/15,Holyoke,MA,Light,5+ minutes,"Two lights, one far below and to the left of the other, seen on Route 91 getting off the exit to Holyoke Mall. Both objects were small,",1/30/15
1/16/15,"Lowell, Tyngsboro, Nashua",MA,Circle,5 minutes,I was driving down MA-13 by Pawtucket Blvd. Heading toward Tyngsboro. I was just coming up on the big company on the right with the hug,1/26/15
1/11/15,Methuen,MA,Fireball,2 minutes,Flashing bright light slowly moving about 200 ft in air then stopped mid air hovered then disappeared.,1/16/15
12/26/14,Newton,MA,Light,5 minutes,"Slow moving object, SE direction, definitely not a star, aircraft, or satellite.",1/7/15
12/19/14,Gardner,MA,Formation,2 minutes,Three orange lights moving slow across clear cold sky..  in a triangle formation.,12/22/14
12/17/14,Chestnut Hill,MA,Other,15 seconds,Reddish bright object traveling southeast from brookline towards south of Boston.,12/22/14
12/15/14,Burlington,MA,Light,5-10 seconds,"Bright greenish light rose up,stopped then shot across sky",12/18/14
12/14/14,Framingham,MA,Sphere,3 seconds,Bright Blue Orb descending in night sky,12/18/14
12/8/14,Worcester,MA,Light,200 milliseconds,White ball moving at extreme speed.,12/12/14
12/5/14,West Roxbury,MA,Light,10 minutes,"4 lights meeting at a point, rotating 45 degrees, then meeting again.",12/12/14
12/1/14,Lowell,MA,Circle,2-3 seconds,Strange orange object with trail appearing and disappearing quickly at civil twilight.,12/5/14
11/29/14,Orleans,MA,Chevron,1-4 hours,"In the SSE sky (151 degrees), an intense light that appears to be a star, but it seems MUCH brighter.  ((NUFORC Note:  Sirius??  PD))",12/5/14
11/29/14,Bridgewater,MA,Light,minutes,5 bright orange lights all following the same arc at the same speed.,12/5/14
11/25/14,Yarmouth,MA,Light,10 seconds,I witnessed a huge ball of light at the Bass River Bridge.  Looked like a large ball of light moving in an upward direction.,12/12/14
11/19/14,Worcester,MA,Cylinder,5 minutes,"Bright white cylinder.  June St., Chandler intersection.",11/21/14
11/16/14,Washington,MA,Other,5 minutes,Black oddly shaped (like large tarpaulin) object moving directly south to north very quickly and high.,11/21/14
11/15/14,Ipswich,MA,Sphere,5 minutes,Three orange lights above beach.,11/21/14
11/15/14,Dracut,MA,Light,3 minutes,"20 lights move across the sky in Dracut, MA.",11/21/14
11/15/14,Hanover,MA,Light,5 minutes,"Driving home from dinner, my wife and I noticed three lights in the sky, one was clearly a helicopter, the other a plane but third seem",11/21/14
11/15/14,Attleboro,MA,Triangle,5 second,"Triangle black, no light in any side.  3-4x speed of an airplane, sky was fully clear and 30 or 20 deg.",11/21/14
11/14/14,Bellingham,MA,Light,15 minutes,Many yellow-orange objects crossing sky all in one direction.,11/21/14
11/11/14,Attleboro,MA,Cone,2 minutes,Went to my car round 5:45 pm look up before getting in the car and saw this cone like shape blue colored. They was a plane also in view,11/14/14
11/8/14,Somerset,MA,Light,5 minutes,Red light making unusual moves.,11/14/14
11/8/14,Norton,MA,Circle,10 seconts,White round light / object appeared suddenly on I-495 southbound near Norton Ma,11/14/14
11/8/14,Duxbury,MA,Circle,15 minutes,"3 Individual bright orange orbs of light, moving across the sky, slightly faster than a plane, one by one, no sound, steady, about a mi",11/14/14
11/5/14,Marlborough,MA,Sphere,8 minutes,Round orange objects floating across sky and disappearing one by one.,11/6/14
11/5/14,Woburn,MA,Circle,30 minutes,Bright light over tree with very loud electrical hum.,11/6/14
11/4/14,Pelham,MA,Diamond,5 minutes,Diamond shaped object near the Quabbin in Pelham.,11/6/14
11/3/14,Ashburnham,MA,Sphere,1 hour,"1 turned into 3 pulsating orbs of light, red, blue, green and whitish in color disappeared after use of flashlight in sky",11/6/14
10/26/14,Fitchburg,MA,Circle,3-5 seconds,"Was traveling on Route 2 east when a large bright light,  white,  orange, red whipped by in my line of vision.  It was very low and I t",11/6/14
10/25/14,Worcester,MA,Triangle,1 minute,At 8:00 pm while traveling eastbound on I 290 just before exit 19-20 we observed 3 red/yellow lights that looked also like fire moving,11/6/14
10/25/14,Worcester,MA,Diamond,10 minutes,Diamond shape objects with yellowish orange lights.,11/6/14
10/20/14,Barnstable,MA,Other,1 hour,Possible UFO or military drone over residential neighborhood,11/6/14
10/19/14,New Bedford,MA,Fireball,10 minutes,"Five ufos flying southeast, moving fast and bright, not planes way to close.",11/6/14
10/18/14,Worcester,MA,Light,5 minutes,"I was driving in my car on Rt 290 heading East, passing through Worcester, Ma when I noticed there were 3-4 oval light orbs moving in t",11/6/14
10/17/14,Pittsfield,MA,Teardrop,Few seconds,Occurred 12:43 am heading SW. White with green perimeter,11/6/14
10/13/14,Northborough,MA,Circle,ongoing,Two Circular Objects Traveling in the Sky.,11/6/14
10/13/14,Norwood,MA,Light,Ongoing,"White green and red lights flickering not moving like a plane.  ((NUFORC Note:  Possible ""twinkling"" star?  PD))",11/6/14
10/12/14,Biddeford Pool,MA,Oval,8 minutes,Red flare type object flying across Saco Bay.,11/6/14
10/9/14,Norwell,MA,Circle,8 minutes,"3 orange spheres/orbs flying in succession due east toward ocean, no sound",11/6/14
10/8/14,Leominster,MA,Light,2 minutes,"Bright yellow light, size as an average star moving E to SW.  Evntually ascended out of sight.",10/10/14
10/8/14,New Bedford,MA,Light,still going on,I was standing on my front porch and thought I was looking at star but then they started moving. There was at least 20 slow moving obje,10/10/14
10/8/14,Millville,MA,Fireball,2 minutes,It was bright red and orange moving fast and then dimmed and disappeared moving southwest,10/10/14
10/6/14,Haverhill,MA,Light,20 seconds,"Bright light low in sky, gets bigger and brighter before moving upward and vanishing",10/10/14
10/6/14,Holbrook,MA,Light,20 minutes,A parade of orange lights overhead.. approx thirty.. no sound.. all heading in the same direction.,10/10/14
10/4/14,North Attleboro,MA,Changing,2 minutes,Strange object over North Attleboro.,10/10/14
10/3/14,Hyannis,MA,Light,2-3 minutes,"Very bright ""star"" and then vanished!",10/10/14
9/28/14,Holyoke,MA,Fireball,2 minutes,"Unexplained red-orange object seen moving slowly in sky, and then vanishes.",10/3/14
9/28/14,South Dennis,MA,Unknown,5 minutes,"3 large, flashing lights over Dennis beach at sunset.",10/3/14
9/28/14,Dartmouth/NewBedford boarder,MA,Disk,~2 minutes,My 2 other friends and I were in my driveway Orion's Belt was clear in the sky and we all looked as we were looking something was float,10/3/14
9/27/14,Worcester,MA,Unknown,2 min,Orange Amber lights Big Dipper shape.,10/3/14
9/27/14,Amherst,MA,Circle,30 seconds,"Circular white object with blue ring/haze descending from sky, view eventually blocked by trees",10/3/14
9/27/14,Marshfield,MA,Circle,3 minutes,3 orange orbs.,10/3/14
9/27/14,Boston,MA,Fireball,30 seconds,Reddish orange orb floating through the sky.,10/3/14
9/26/14,Holyoke,MA,Light,2 minutes,"Bright red light hovering motionless, then moving slowly while wavering side to side, then slowly fading from red to green to invisible",10/3/14
9/26/14,Centerville,MA,Sphere,30-60 seconds,8:15 pm this evening 3 round orange lights with some denseness to them moving slowly but steadily from northeast to south in the sky.,10/3/14
9/26/14,Centerville,MA,Sphere,30-60 seconds,"8:15pm, Cape Cod, 3 round orange lights, with a denseness to them, traveling slowly but steadily from the northeast to the south.",10/3/14
